"aphiaID","Kingdom","Phylum","Subphylum","Class","Order","Family","Superclass","Infraclass","Superorder","Subclass","Suborder","Infraorder","Genus","Subterclass","Superfamily","Infraphylum","Parvphylum","Gigaclass","Subkingdom","Infrakingdom","Parvorder","Subfamily","Species","rank"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Superdomain"
51,"Animalia","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
105,"Animalia","Mollusca",NA,"Bivalvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
164,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda",NA,NA,"Euthyneura",NA,"Heterobranchia","Gymnosomata",NA,NA,"Tectipleura",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suborder"
882,"Animalia","Annelida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
958,"Animalia","Annelida",NA,"Polychaeta","Phyllodocida","Tomopteridae",NA,NA,NA,"Errantia","Phyllodocida incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
1066,"Animalia","Arthropoda","Crustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subphylum"
1078,"Animalia","Arthropoda","Crustacea","Ostracoda",NA,NA,"Oligostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1080,"Animalia","Arthropoda","Crustacea","Copepoda",NA,NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1082,"Animalia","Arthropoda","Crustacea","Thecostraca",NA,NA,"Multicrustacea",NA,NA,"Cirripedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subclass"
1086,"Animalia","Arthropoda","Crustacea","Malacostraca",NA,NA,"Multicrustacea",NA,NA,"Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subclass"
1100,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida",NA,"Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1101,"Animalia","Arthropoda","Crustacea","Copepoda","Cyclopoida",NA,"Multicrustacea","Neocopepoda","Podoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1102,"Animalia","Arthropoda","Crustacea","Copepoda","Harpacticoida",NA,"Multicrustacea","Neocopepoda","Podoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1106,"Animalia","Arthropoda","Crustacea","Copepoda","Monstrilloida",NA,"Multicrustacea","Neocopepoda","Podoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1128,"Animalia","Arthropoda","Crustacea","Malacostraca","Euphausiacea",NA,"Multicrustacea",NA,"Eucarida","Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1131,"Animalia","Arthropoda","Crustacea","Malacostraca","Isopoda",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1135,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1137,"Animalia","Arthropoda","Crustacea","Malacostraca","Cumacea",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1205,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca","Hyperiidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suborder"
1207,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca","Gammaridea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suborder"
1248,"Animalia","Ctenophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
1302,"Animalia","Arthropoda","Chelicerata","Pycnogonida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1307,"Animalia","Arthropoda","Hexapoda","Insecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1337,"Animalia","Cnidaria","Medusozoa","Hydrozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1371,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Siphonophorae",NA,NA,NA,NA,"Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1410,"Chromista","Foraminifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harosa","Rhizaria",NA,NA,NA,"Phylum"
1614,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Leptothecata","Sertulariidae",NA,NA,NA,"Hydroidolina",NA,NA,NA,NA,"Sertularioidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
1789,"Animalia","Phoronida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
1806,"Animalia","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
2081,"Animalia","Chaetognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
10194,"Animalia","Chordata","Vertebrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gnathostomata","Osteichthyes","Actinopterygii",NA,NA,NA,NA,NA,"Gigaclass"
11707,"Animalia","Mollusca",NA,"Cephalopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
13552,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
13704,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda","Limacinidae",NA,"Euthyneura",NA,"Heterobranchia","Euthecosomata",NA,NA,"Tectipleura","Limacinoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
101361,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Caprellidae","Multicrustacea",NA,"Peracarida","Eumalacostraca","Senticaudata","Corophiida",NA,NA,"Caprelloidea",NA,NA,NA,NA,NA,"Caprellidira",NA,NA,"Family"
103354,"Animalia","Chordata","Tunicata","Appendicularia","Copelata","Fritillariidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
103356,"Animalia","Chordata","Tunicata","Appendicularia","Copelata","Oikopleuridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104074,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Acartiidae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104079,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Calanidae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104080,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Candaciidae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104081,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Centropagidae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104086,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Euchaetidae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104092,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Metridinidae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104097,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Pontellidae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104106,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Temoridae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
104190,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida","Metridinidae","Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,"Metridia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
104902,"Animalia","Chordata","Cephalochordata","Leptocardii",NA,"Branchiostomatidae",NA,NA,NA,NA,NA,NA,"Branchiostoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
106264,"Animalia","Arthropoda","Crustacea","Branchiopoda","Onychopoda","Podonidae","Allotriocarida",NA,"Diplostraca","Phyllopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
106266,"Animalia","Arthropoda","Crustacea","Branchiopoda","Ctenopoda","Sididae","Allotriocarida",NA,"Diplostraca","Phyllopoda",NA,NA,"Penilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
106422,"Animalia","Arthropoda","Crustacea","Copepoda","Cyclopoida","Oithonidae","Multicrustacea","Neocopepoda","Podoplea",NA,"Oithonida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
106673,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda",NA,"Multicrustacea",NA,"Eucarida","Eumalacostraca","Pleocyemata","Brachyura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infraorder"
106733,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Galatheidae","Multicrustacea",NA,"Eucarida","Eumalacostraca","Pleocyemata","Anomura",NA,NA,"Galatheoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
106734,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Porcellanidae","Multicrustacea",NA,"Eucarida","Eumalacostraca","Pleocyemata","Anomura",NA,NA,"Galatheoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
116998,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Leptothecata","Aequoreidae",NA,NA,NA,"Hydroidolina",NA,NA,"Aequorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
117034,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Leptothecata","Campanulariidae",NA,NA,NA,"Hydroidolina",NA,NA,"Obelia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
117099,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Limnomedusae","Geryoniidae",NA,NA,NA,"Trachylinae",NA,NA,"Liriope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
117213,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Trachymedusae","Rhopalonematidae",NA,NA,NA,"Trachylinae",NA,NA,"Aglaura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
123082,"Animalia","Echinodermata","Echinozoa","Echinoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
123084,"Animalia","Echinodermata","Asterozoa","Ophiuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
123117,"Animalia","Echinodermata","Asterozoa","Ophiuroidea","Ophiurida",NA,NA,"Metophiurida","Euryophiurida","Myophiuroida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
123626,"Animalia","Echinodermata","Asterozoa","Ophiuroidea","Amphilepidida","Ophiotrichidae",NA,"Metophiurida","Ophintegrida","Myophiuroida","Gnathophiurina",NA,"Ophiothrix",NA,"Ophiactoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
128569,"Animalia","Arthropoda","Crustacea","Copepoda","Cyclopoida","Corycaeidae","Multicrustacea","Neocopepoda","Podoplea",NA,"Ergasilida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
128586,"Animalia","Arthropoda","Crustacea","Copepoda","Cyclopoida","Oncaeidae","Multicrustacea","Neocopepoda","Podoplea",NA,"Ergasilida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
128595,"Animalia","Arthropoda","Crustacea","Copepoda","Cyclopoida","Sapphirinidae","Multicrustacea","Neocopepoda","Podoplea",NA,"Ergasilida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
135220,"Animalia","Cnidaria","Medusozoa","Scyphozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
135335,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Siphonophorae",NA,NA,NA,NA,"Hydroidolina","Physonectae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suborder"
135336,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Siphonophorae","Abylidae",NA,NA,NA,"Hydroidolina","Calycophorae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
135338,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Siphonophorae","Diphyidae",NA,NA,NA,"Hydroidolina","Calycophorae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
136093,"Animalia","Arthropoda","Crustacea","Malacostraca","Stomatopoda","Squillidae","Multicrustacea",NA,NA,"Hoplocarida","Unipeltata",NA,NA,NA,"Squilloidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
137212,"Animalia","Chordata","Tunicata","Thaliacea","Doliolida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
137214,"Animalia","Chordata","Tunicata","Thaliacea","Salpida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
137687,"Animalia","Mollusca",NA,"Gastropoda","Littorinimorpha","Atlantidae",NA,NA,NA,"Caenogastropoda",NA,NA,"Atlanta",NA,"Pterotracheoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
137793,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda","Clionidae",NA,"Euthyneura",NA,"Heterobranchia","Gymnosomata",NA,"Clione","Tectipleura","Clionoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
139029,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda","Cavoliniidae",NA,"Euthyneura",NA,"Heterobranchia","Euthecosomata",NA,"Cavolinia","Tectipleura","Cavolinioidea",NA,NA,NA,NA,NA,NA,"Cavoliniinae","Cavolinia inflexa","Species"
152391,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
411905,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda","Creseidae",NA,"Euthyneura",NA,"Heterobranchia","Euthecosomata",NA,NA,"Tectipleura","Cavolinioidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
582419,"Chromista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harosa",NA,NA,NA,NA,"Subkingdom"
586732,"Chromista","Radiozoa",NA,"Acantharia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harosa","Rhizaria",NA,NA,NA,"Class"
1379066,"Animalia","Bryozoa",NA,"Gymnolaemata","Cheilostomatida","Electridae",NA,NA,NA,NA,"Membraniporina",NA,"Cyphonautes",NA,"Membraniporoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
1583577,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Palinuridae","Multicrustacea",NA,"Eucarida","Eumalacostraca","Pleocyemata","Achelata","Phyllosoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
