"Station","DATA","Longitude [degrees_east]","Latitude [degrees_north]"
"18A - Carry","REPHY",5.159,43.322
"21E - ile embiez","REPHY",5.738,43.078
"22B - Toulon gde rade","REPHY",5.955,43.079
"27B - Frejus est","REPHY",6.905,43.422
"Agde","REPHY",3.521,43.259
"Agon (a)","REPHY",-1.629,49.053
"Anse de Carteau 2","REPHY",4.884,43.377
"Antifer ponton pétrolier","REPHY",0.132,49.666
"Antifer ponton pêche","REPHY",0.152,49.651
"Antioche","SOMLIT",-1.308,46.084
"Antoine","REPHY",4.846,43.378
"Arcachon - Bouée 7","REPHY",-1.241,44.568
"Astan","SOMLIT",-3.938,48.778
"At so","REPHY",1.475,50.231
"Auger","REPHY",-1.205,45.8
"BIS - Biguglia sud","REPHY",9.486,42.577
"Barcares","REPHY",3.057,42.875
"Barfleur gisement","REPHY",-1.252,49.707
"Basse Michaud","REPHY",-2.583,47.229
"Beauvoir - le Gois","REPHY",-2.114,46.928
"Beg Douar","REPHY",-3.616,48.684
"Berre sud","REPHY",5.106,43.419
"Bif","REPHY",1.591,50.216
"Bizeux","SOMLIT",-2.033,48.633
"Bois de la Chaise (a)","REPHY",-2.212,47.003
"Bois de la Chaise large","REPHY",-2.199,47.019
"Bouchots Tardinghen","REPHY",1.615,50.877
"Bouee 13","SOMLIT",-1.238,44.633
"Bouye","REPHY",6.667,43.269
"Bouzigues (a)","REPHY",3.664,43.435
"Bouée Carosse","REPHY",0.025,49.484
"Bouée de Luc 2 milles","REPHY",-0.308,49.346
"Bouée des palles","REPHY",-1.16,45.992
"Boyard","REPHY",-1.208,45.969
"Breville (a)","REPHY",-1.582,48.862
"Bréhat","REPHY",-3.012,48.823
"Cabourg","REPHY",-0.117,49.298
"Calvi","REPHY",8.726,42.581
"Camaret (a)","REPHY",-4.585,48.278
"Cancale nord (b)","REPHY",-1.845,48.676
"Cap Canaille","REPHY",5.553,43.187
"Cap Corse","REPHY",9.478,42.991
"Capitello  2","REPHY",8.757,41.897
"Cargèse","REPHY",8.594,42.126
"Carteau 14","REPHY",4.879,43.383
"Comprian","SOMLIT",-1.102,44.678
"Comète","REPHY",4.24,43.466
"Concarneau large","REPHY",-3.95,47.833
"Cortiou","REPHY",5.381,43.196
"Cotard","REPHY",-1.111,45.775
"Coupelasse large","REPHY",-2.061,47.042
"Coupelasse-Fiol","REPHY",-2.03,47.02
"Courbe","REPHY",4.695,43.349
"Couronne","REPHY",5.053,43.324
"Cézembre","SOMLIT",-2.067,48.686
"Côte Sauvage","REPHY",-1.28,45.727
"Diana centre","REPHY",9.525,42.128
"Digue de Querqueville","REPHY",-1.663,49.672
"Donville","REPHY",-1.629,48.841
"Ecocéan","REPHY",-1.559,44.628
"Endoume","REPHY",5.292,43.242
"Estacade","SOMLIT",-3.983,48.732
"Etang d'Urbino - Centre","REPHY",9.478,42.046
"Eyrac","SOMLIT",-1.143,44.664
"FLAM - Dielette","REPHY",-1.919,49.547
"Filière w","REPHY",-1.377,46.278
"Filières de Gruissan","REPHY",3.134,43.095
"Frioul","SOMLIT",5.292,43.242
"Gatteville phare","REPHY",-1.262,49.695
"Golfe de Porto Vecchio","REPHY",9.311,41.61
"Golfe de Saint Florent","REPHY",9.308,42.708
"Golfe de Sant'Amanza 1","REPHY",9.233,41.42
"Goulet de Bonifacio","REPHY",9.153,41.39
"Grand Rhône","REPHY",4.803,43.386
"Grandcamp prise eau base","REPHY",-1.092,49.383
"Grande Rade","REPHY",-0.011,49.521
"Granville","REPHY",-1.598,48.839
"Grau Leucate","REPHY",3.035,42.885
"Gresseloup","REPHY",-2.134,46.948
"Groix Filières","REPHY",-3.456,47.647
"Géfosse","REPHY",-1.107,49.39
"Hossegor amont","REPHY",-1.43,43.677
"Houat","REPHY",-2.947,47.409
"Ile Chevalier","REPHY",-4.176,47.855
"Ile Dumet (a)","REPHY",-2.59,47.421
"Ile d'Aix","REPHY",-1.153,46.016
"Ile d'Yeu est","REPHY",-2.294,46.711
"Ile du soleil","REPHY",6.42,43.015
"Jai","REPHY",5.163,43.413
"Jospinet","REPHY",-2.604,48.551
"Kerist","REPHY",-3.977,47.897
"Kervel","REPHY",-4.285,48.116
"Kervel large","REPHY",-4.298,48.11
"L'Eperon (terre)","REPHY",-1.242,46.268
"La Carrelère","REPHY",-1.2,46.23
"La Palmyre","REPHY",-1.176,45.653
"La Passe des Esnandais (terre)","REPHY",-1.315,46.304
"Lannuguy","REPHY",-3.855,48.607
"Lanvéoc","REPHY",-4.459,48.293
"Lanvéoc large","REPHY",-4.449,48.309
"Large Cap Ferret","REPHY",-1.321,44.632
"Large Porge océan","REPHY",-1.291,44.885
"Lazaret (a)","REPHY",5.906,43.087
"Le Buron","SOMLIT",-2.068,48.659
"Le Chapus (a)","REPHY",-1.179,45.853
"Le Cornard","REPHY",-1.131,46.055
"Le Croisic (a)","REPHY",-2.514,47.3
"Le Halguen","REPHY",-2.494,47.501
"Le Henant","REPHY",-3.756,47.836
"Le Hourdel","REPHY",1.503,50.23
"Le Passage (a)","REPHY",-4.384,48.396
"Le Scoré","REPHY",-3.954,47.875
"Les Glénan","REPHY",-4.34,47.646
"Listel","REPHY",3.611,43.389
"Littoral Bastiais","REPHY",9.463,42.676
"Locquemeau","REPHY",-3.585,48.726
"Loguivy","REPHY",-3.042,48.829
"Luc sur mer","REPHY",-0.347,49.322
"Luc-sur-Mer","SOMLIT",-0.347,49.319
"Marseillan (a)","REPHY",3.553,43.364
"Men Du","REPHY",-3.84,47.773
"Men er Roue","REPHY",-3.094,47.535
"Merquel","REPHY",-2.466,47.42
"Mont St Michel","REPHY",-1.765,48.653
"Morgat 1","REPHY",-4.501,48.211
"Morgat 2","REPHY",-4.494,48.222
"Nord Dumet","REPHY",-2.657,47.46
"Nord Saumonards","REPHY",-1.278,46.006
"Ouessant - Youc'h korz","REPHY",-5.115,48.45
"Ouessant - cale de Porz Arlan","REPHY",-5.049,48.456
"Ouest Loscolo","REPHY",-2.538,47.458
"Ouistreham 1 mille","REPHY",-0.243,49.311
"Palu","REPHY",9.409,41.947
"Paluden","REPHY",-4.521,48.588
"Parc 10 n","REPHY",1.599,50.763
"Parc Leucate 2","REPHY",3.014,42.873
"Passerelle RO-RO","REPHY",1.567,50.726
"Pen al Lann (a)","REPHY",-3.893,48.666
"Penzornou","REPHY",-3.943,48.66
"Pianottoli - Bruzzi","REPHY",9.023,41.455
"Pirou Bergerie Sud","REPHY",-1.605,49.147
"Point 1 Boulogne","REPHY",1.549,50.753
"Point 1 Dunkerque","REPHY",2.333,51.069
"Point B","SOMLIT",7.317,43.683
"Point C","SOMLIT",1.521,50.688
"Point L","SOMLIT",1.417,50.688
"Pointe Pen Bé","REPHY",-2.458,47.423
"Pointe Sant'Amanza","REPHY",9.266,41.429
"Pointe du Roc","REPHY",-1.62,48.833
"Pont de Lézardrieux - 152E08","REPHY",-3.106,48.779
"Port Etel","REPHY",-3.207,47.656
"Port Joinville","REPHY",-2.348,46.729
"Port Saint Hubert","REPHY",-1.973,48.535
"Port au Loup","REPHY",-2.535,47.386
"Portzic","SOMLIT",-4.552,48.359
"Prat ar Coum","REPHY",-4.59,48.565
"Quiberon-concessions","REPHY",-3.097,47.532
"Rance","REPHY",-2.035,48.602
"Remblai","REPHY",-1.784,46.491
"Roche Colas","REPHY",-2.821,47.583
"Roche Jaune","REPHY",-3.203,48.824
"Roches de Grandcamp","REPHY",-1.049,49.394
"Rousty","REPHY",4.494,43.457
"Salmona cage","REPHY",-1.624,49.673
"Sete","SOMLIT",3.662,43.327
"Smile","SOMLIT",-0.333,49.337
"Sola","SOMLIT",3.145,42.488
"St Aubin","REPHY",-0.388,49.341
"St Cast","REPHY",-2.244,48.643
"St Pol large","REPHY",-3.953,48.701
"St Vaast Sud","REPHY",-1.288,49.559
"Stes Maries 5","REPHY",4.443,43.449
"Strouanne","REPHY",1.677,50.906
"Sud Bastia","REPHY",9.491,42.641
"Sète Mer Large","REPHY",3.644,43.334
"Sète mer","REPHY",3.701,43.389
"Teychan bis","REPHY",-1.159,44.674
"Trévignon","REPHY",-3.832,47.796
"Vert Bois 2","REPHY",-1.29,45.841
"Villefranche","REPHY",7.316,43.684
"les Hébihens","REPHY",-2.207,48.643
"pk 30","SOMLIT",-0.638,45.068
"pk 52","SOMLIT",-0.725,45.247
"pk 86","SOMLIT",-0.95,45.517
